"","Address","Date","Rent","Aprt_Type","Building_Type"
"217","14201 N Kentucky Ave, Oklahoma City, OK 73134","2026/01/01",1699,"2 Beds","Apartment"
"218","321 N Oklahoma Ave, Oklahoma City, OK 73104","2026/01/01",1250,"1 Bed","Apartment"
"219","321 N Oklahoma Ave, Oklahoma City, OK 73104","2026/01/01",1550,"2 Beds","Apartment"
"220","6300 W Memorial Rd, Oklahoma City, OK 73142","2026/01/01",1495,"1 Bed","Apartment"
"221","6300 W Memorial Rd, Oklahoma City, OK 73142","2026/01/01",1799,"2 Beds","Apartment"
"222","6300 W Memorial Rd, Oklahoma City, OK 73142","2026/01/01",1999,"3 Beds","Apartment"
"223","14117 N Rockwell Ave, Oklahoma City, OK 73142","2026/01/01",1112,"1 Bed","Apartment"
"224","14117 N Rockwell Ave, Oklahoma City, OK 73142","2026/01/01",1224,"2 Beds","Apartment"
"225","14117 N Rockwell Ave, Oklahoma City, OK 73142","2026/01/01",1613,"3 Beds","Apartment"
"226","601 Robert S Kerr Ave, Oklahoma City, OK 73102","2026/01/01",1109,"1 Bed","Apartment"
"227","601 Robert S Kerr Ave, Oklahoma City, OK 73102","2026/01/01",1450,"2 Beds","Apartment"
"228","601 Robert S Kerr Ave, Oklahoma City, OK 73102","2026/01/01",1950,"3 Beds","Apartment"
"229","10900 S Pennsylvania Ave, Oklahoma City, OK 73170","2026/01/01",1017,"1 Bed","Apartment"
"230","10900 S Pennsylvania Ave, Oklahoma City, OK 73170","2026/01/01",1196,"2 Beds","Apartment"
"231","10900 S Pennsylvania Ave, Oklahoma City, OK 73170","2026/01/01",1431,"3 Beds","Apartment"
"232","6700 W Memorial Rd, Oklahoma City, OK 73142","2026/01/01",1048,"1 Bed","Apartment"
"233","6700 W Memorial Rd, Oklahoma City, OK 73142","2026/01/01",1342,"2 Beds","Apartment"
"234","6700 W Memorial Rd, Oklahoma City, OK 73142","2026/01/01",1551,"3 Beds","Apartment"
"235","2701 Watermark Blvd, Oklahoma City, OK 73134","2026/01/01",970,"1 Bed","Apartment"
"236","2701 Watermark Blvd, Oklahoma City, OK 73134","2026/01/01",1181,"2 Beds","Apartment"
"237","2701 Watermark Blvd, Oklahoma City, OK 73134","2026/01/01",1711,"3 Beds","Apartment"
"238","4001 NW 122nd St, Oklahoma City, OK 73120","2026/01/01",912,"1 Bed","Apartment"
"239","4001 NW 122nd St, Oklahoma City, OK 73120","2026/01/01",1166,"2 Beds","Apartment"
