"","Address","Date","Rent","Aprt_Type","Building_Type"
"424","2011 15th St NW, Washington, DC 20009","2026/01/01",1977,"Studio","Apartment"
"425","2011 15th St NW, Washington, DC 20009","2026/01/01",2767,"1 Bed","Apartment"
"426","2011 15th St NW, Washington, DC 20009","2026/01/01",3737,"2 Beds","Apartment"
"427","51 M St NE, Washington, DC 20002","2026/01/01",1638,"Studio","Apartment"
"428","51 M St NE, Washington, DC 20002","2026/01/01",1941,"1 Bed","Apartment"
"429","51 M St NE, Washington, DC 20002","2026/01/01",2990,"2 Beds+","Apartment"
"430","1100 2nd Pl SE, Washington, DC 20003","2026/01/01",1668,"1 Bed","Apartment"
"431","1100 2nd Pl SE, Washington, DC 20003","2026/01/01",2496,"2 Beds","Apartment"
"432","1100 2nd Pl SE, Washington, DC 20003","2026/01/01",5888,"3 Beds","Apartment"
"433","1201 Half St SE, Washington, DC 20003","2026/01/01",1613,"Studio","Apartment"
"434","1201 Half St SE, Washington, DC 20003","2026/01/01",1859,"1 Bed","Apartment"
"435","1201 Half St SE, Washington, DC 20003","2026/01/01",2574,"2 Beds","Apartment"
"436","3750 Jamison St NE, Washington, DC 20018","2026/01/01",1649,"Studio","Apartment"
"437","3750 Jamison St NE, Washington, DC 20018","2026/01/01",1760,"1 Bed","Apartment"
"438","3750 Jamison St NE, Washington, DC 20018","2026/01/01",2537,"2 Beds","Apartment"
"439","1401 Pennsylvania Ave SE, Washington, DC 20003","2026/01/01",1550,"Studio","Apartment"
"440","1401 Pennsylvania Ave SE, Washington, DC 20003","2026/01/01",1980,"1 Bed","Apartment"
"441","1215 E West Hwy, Silver Spring, MD 20910","2026/01/01",1520,"Studio","Apartment"
"442","1215 E West Hwy, Silver Spring, MD 20910","2026/01/01",1790,"1 Bed","Apartment"
"443","1215 E West Hwy, Silver Spring, MD 20910","2026/01/01",2250,"2 Beds","Apartment"
"444","8000 Eastern Dr, Silver Spring, MD 20910","2026/01/01",1545,"Studio","Apartment"
"445","8000 Eastern Dr, Silver Spring, MD 20910","2026/01/01",1845,"1 Bed","Apartment"
"446","8000 Eastern Dr, Silver Spring, MD 20910","2026/01/01",2345,"2 Beds","Apartment"
"NA.5",NA,NA,NA,NA,NA
"448","8560 2nd Ave, Silver Spring, MD 20910","2026/01/01",1270,"Studio","Apartment"
"449","8560 2nd Ave, Silver Spring, MD 20910","2026/01/01",1865,"1 Bed","Apartment"
